"PQT/VC Ref Number","Product Name",Applicant,"Product Type","Active Ingredient/Synergist","Date of Prequalification","Other names",Links,"Other Documents"
004-018,2GARD,"Tagros Chemicals India Pvt. Ltd",IRS,"Clothianidin, Deltamethrin","Thu, 11/18/2021 - 12:00",,,
002-004,"Abate 1 SG","BASF AGRO B.V. Arnhem (NL) Freienbach Branch",Larvicide,Temephos,"Wed, 04/18/2018 - 12:00",,,"002-004 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-002-004.pdf"
002-003,"Abate 500 EC","BASF AGRO B.V. Arnhem (NL) Freienbach Branch",Larvicide,Temephos,"Wed, 04/18/2018 - 12:00",,,"002-003 Statement of Conversion and Letter of Prequalification"
012-001,"Actellic 300CS","Syngenta Crop Protection AG",IRS,Pirimiphos-methyl,"Mon, 01/29/2018 - 12:00",,"Report of the 16th WHOPES Working Group meeting","012-001 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-012-001.pdf"
012-002,"Actellic EC","Syngenta Crop Protection AG",Larvicide,Pirimiphos-methyl,"Thu, 05/03/2018 - 12:00",,,"012-002 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-012-002.pdf




      



      



, 





  
          






            Withdrawal of IRS Use Pattern
      









            





 20231108 PPQC (Actellic EC, 012-002,PQC-VCP-2023-0034).pdf"
P-00158,"Aqua K-Othrine","Envu (Environmental Science U.S. LLC.)","Space Spray (indoor), Space Spray (outdoor)",Deltamethrin,"Mon, 01/29/2018 - 12:00",,"Report of the 9th WHOPES Working Group meeting","008-001 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-008-001.pdf




      



      



, 





  
          






            Transfer of Ownership
      









            





 20221111 PPQC (PQC-VCP-2022-0037, PQC-VCAI-2022-0017).pdf"
027-001,"Aquatain AMF","Aquatain Products Pty Ltd",Larvicide,"PDMS (Polydimethylsiloxane)","Wed, 12/19/2018 - 12:00",,,
004-017,"Axient 440EW","Tagros Chemicals India Pvt. Ltd","Space Spray (outdoor)",Malathion,"Thu, 03/16/2023 - 12:00",,,
P-00175,"Bistar 10WP","Envu (Environmental Science U.S. LLC.)",IRS,Bifenthrin,"Mon, 01/29/2018 - 12:00","Talstar WP Insecticide/Miticide,  Biflex WP Insecticide/Miticide,   Biflex 10 WP,  Binet 10WP,  Talstar 100PH","Report to the 5th WHOPES Working Group meeting","013-001 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-013-001.pdf




      



      



, 





  
          






            Transfer of Ownership
      









            





 20260113 Transfer of Ownership PQC-VCP-2026-0002.pdf"
020-006,"Cielo ULV","Clarke International","Space Spray (indoor), Space Spray (outdoor)","Imidacloprid, Prallethrin","Tue, 01/22/2019 - 12:00",,,"020-006 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-020-006.pdf"
025-002,"Device 25WP","Arysta LifeScience",Larvicide,Diflubenzuron,"Thu, 05/03/2018 - 12:00","Dimilin 25%W,  Dimilin 25%WP,  Dimilin 25 WP,  Dimilin WP-25,  Dimilin Spuitpoeder 25% voor de Weehouderij,  Dimilin-25,  Device Pm-25,  Indipendent 25 PB,  Du-Dim 25 PB,  Dimilin Spuitpoeder 25%,  Dagilin,  No Larv 25 PB,  Adobe,  Assault,  Du-Dim PB,  Bi-Larv 25 WP,  Device PM,  No Fly Madex L.D WP-25,  HM Dimilin 25WP,  Acugard 25WP","Report of the 9th WHOPES Working Group meeting","025-002 Statement of Conversion and Letter of Prequalification
      









            





 WHOVC-SOC-LOP-025-002.pdf"
