grantCode,iso3,geography,geoLevel,status,currency,signedUsd,committedUsd,disbursedUsd,periodStart,periodEnd,sourceUrl,retrievedDate
AFG-506-G03-M,AFG,Afghanistan,Country,Administratively Closed,USD,16713179.95,16713179.95,16713179.95,2006-11-01,2011-10-31,https://data.theglobalfund.org/grant/AFG-506-G03-M,2026-08-22
AFG-509-G06-M,AFG,Afghanistan,Country,Administratively Closed,USD,7171871.31,7171871.31,7171871.31,2009-02-01,2010-04-30,https://data.theglobalfund.org/grant/AFG-509-G06-M,2026-08-22
AFG-809-G08-M,AFG,Afghanistan,Country,Administratively Closed,USD,2810460.46,2810460.46,2810460.46,2010-02-01,2012-10-31,https://data.theglobalfund.org/grant/AFG-809-G08-M,2026-08-22
AFG-809-G09-M,AFG,Afghanistan,Country,Administratively Closed,USD,44319322.79,44319322.79,44319322.79,2010-05-01,2015-09-30,https://data.theglobalfund.org/grant/AFG-809-G09-M,2026-08-22
AFG-809-G10-M,AFG,Afghanistan,Country,Administratively Closed,USD,5689910.02,5689910.02,5689910.02,2010-02-01,2015-01-31,https://data.theglobalfund.org/grant/AFG-809-G10-M,2026-08-22
AFG-812-G14-M,AFG,Afghanistan,Country,Administratively Closed,USD,1421401.95,1421401.95,1421401.95,2012-02-01,2015-01-31,https://data.theglobalfund.org/grant/AFG-812-G14-M,2026-08-22
AFG-M-UNDP,AFG,Afghanistan,Country,In Closure,USD,54286555.88,54286555.88,54286555.88,2015-10-01,2023-12-31,https://data.theglobalfund.org/grant/AFG-M-UNDP,2026-08-22
AGO-305-G01-M,AGO,Angola,Country,Administratively Closed,USD,33689079.09,33689079.09,33689079.09,2005-04-01,2008-09-30,https://data.theglobalfund.org/grant/AGO-305-G01-M,2026-08-22
AGO-708-G04-M,AGO,Angola,Country,Administratively Closed,USD,27171690.9,27171690.9,27171690.9,2008-11-01,2012-03-31,https://data.theglobalfund.org/grant/AGO-708-G04-M,2026-08-22
AGO-M-MOH,AGO,Angola,Country,Administratively Closed,USD,60552745.19,60552745.19,60552745.19,2012-04-01,2021-06-30,https://data.theglobalfund.org/grant/AGO-M-MOH,2026-08-22
AGO-M-WVI,AGO,Angola,Country,Administratively Closed,USD,16793414.51,16793414.51,16793414.51,2016-07-01,2021-06-30,https://data.theglobalfund.org/grant/AGO-M-WVI,2026-08-22
AZE-708-G04-M,AZE,Azerbaijan,Country,Administratively Closed,USD,5473491.93,5473491.93,5473491.93,2008-10-01,2013-09-30,https://data.theglobalfund.org/grant/AZE-708-G04-M,2026-08-22
BDI-202-G02-M-00,BDI,Burundi,Country,Administratively Closed,USD,16568330.89,16568330.89,16568330.89,2003-10-01,2006-09-30,https://data.theglobalfund.org/grant/BDI-202-G02-M-00,2026-08-22
BDI-202-G05-M-00,BDI,Burundi,Country,Administratively Closed,USD,29141228.86,29141228.86,29141228.86,2006-10-01,2014-06-30,https://data.theglobalfund.org/grant/BDI-202-G05-M-00,2026-08-22
BDI-910-G09-M,BDI,Burundi,Country,Administratively Closed,USD,30638703.56,30638703.56,30638703.56,2010-08-01,2014-06-30,https://data.theglobalfund.org/grant/BDI-910-G09-M,2026-08-22
BDI-M-CARITAS,BDI,Burundi,Country,Administratively Closed,USD,4152089.61,4152089.61,4152089.61,2016-01-01,2017-12-31,https://data.theglobalfund.org/grant/BDI-M-CARITAS,2026-08-22
BDI-M-PNILP,BDI,Burundi,Country,Administratively Closed,USD,27646652.08,27646652.08,27646652.08,2016-01-01,2017-12-31,https://data.theglobalfund.org/grant/BDI-M-PNILP,2026-08-22
BDI-M-SEPCNLS,BDI,Burundi,Country,Administratively Closed,USD,3749375.61,3749375.61,3749375.61,2014-07-01,2015-12-31,https://data.theglobalfund.org/grant/BDI-M-SEPCNLS,2026-08-22
BDI-M-UNDP,BDI,Burundi,Country,In Closure,USD,144069048.35,141465619.6,141465619.6,2017-09-06,2023-12-31,https://data.theglobalfund.org/grant/BDI-M-UNDP,2026-08-22
BEN-102-G01-M-00,BEN,Benin,Country,Administratively Closed,USD,2562826.27,2562826.27,2562826.27,2003-05-01,2006-09-30,https://data.theglobalfund.org/grant/BEN-102-G01-M-00,2026-08-22
BEN-304-G04-M,BEN,Benin,Country,Administratively Closed,USD,65362170.61,65362170.61,65362170.61,2004-11-01,2015-12-31,https://data.theglobalfund.org/grant/BEN-304-G04-M,2026-08-22
BEN-708-G07-M,BEN,Benin,Country,Administratively Closed,USD,22551360.07,22551360.07,22551360.07,2008-07-01,2015-12-31,https://data.theglobalfund.org/grant/BEN-708-G07-M,2026-08-22
BEN-M-PNLP,BEN,Benin,Country,In Closure,USD,110401238.94,110401238.94,110456977.47,2016-01-01,2023-12-31,https://data.theglobalfund.org/grant/BEN-M-PNLP,2026-08-22
BFA-202-G01-M-00,BFA,Burkina Faso,Country,Administratively Closed,USD,6812491.76,6812491.76,6812491.76,2003-12-01,2005-11-30,https://data.theglobalfund.org/grant/BFA-202-G01-M-00,2026-08-22
BFA-809-G09-M,BFA,Burkina Faso,Country,Administratively Closed,USD,12974353.97,12974353.97,12974353.97,2009-09-01,2011-12-31,https://data.theglobalfund.org/grant/BFA-809-G09-M,2026-08-22
BFA-M-PADS,BFA,Burkina Faso,Country,Active,USD,675064427.24,615176014.54,596833857.44,2012-01-01,2026-12-31,https://data.theglobalfund.org/grant/BFA-M-PADS,2026-08-22
BGD-607-G06-M,BGD,Bangladesh,Country,Administratively Closed,USD,10715471,10715471,10715471,2007-05-01,2010-06-30,https://data.theglobalfund.org/grant/BGD-607-G06-M,2026-08-22
BGD-607-G07-M,BGD,Bangladesh,Country,Administratively Closed,USD,13144703.81,13144703.81,13144703.81,2007-06-01,2009-07-31,https://data.theglobalfund.org/grant/BGD-607-G07-M,2026-08-22
BGD-M-BRAC,BGD,Bangladesh,Country,Active,USD,73178588.82,72595345.64,70933213.55,2010-07-01,2026-12-31,https://data.theglobalfund.org/grant/BGD-M-BRAC,2026-08-22
BGD-M-NMCP,BGD,Bangladesh,Country,Active,USD,90475534.03,89128738.04,88645711.96,2010-07-01,2026-12-31,https://data.theglobalfund.org/grant/BGD-M-NMCP,2026-08-22
BOL-304-G02-M,BOL,Bolivia (Plurinational State),Country,Administratively Closed,USD,3025736.12,3025736.12,3025736.12,2004-07-26,2006-07-25,https://data.theglobalfund.org/grant/BOL-304-G02-M,2026-08-22
BOL-306-G05-M,BOL,Bolivia (Plurinational State),Country,Administratively Closed,USD,2085355.54,2085355.54,2085355.54,2006-05-01,2007-07-31,https://data.theglobalfund.org/grant/BOL-306-G05-M,2026-08-22
BOL-809-G08-M,BOL,Bolivia (Plurinational State),Country,Administratively Closed,USD,13412218.75,13412218.75,13412218.75,2009-10-01,2016-02-29,https://data.theglobalfund.org/grant/BOL-809-G08-M,2026-08-22
BOL-M-UNDP,BOL,Bolivia (Plurinational State),Country,Active,USD,24915743.52,24085003.11,22972195.21,2016-03-01,2027-12-31,https://data.theglobalfund.org/grant/BOL-M-UNDP,2026-08-22
BRA-809-G03-M,BRA,Brazil,Country,Administratively Closed,USD,4996762.84,4996762.84,4996762.84,2009-12-01,2011-11-30,https://data.theglobalfund.org/grant/BRA-809-G03-M,2026-08-22
BRA-809-G04-M,BRA,Brazil,Country,Administratively Closed,USD,12229062.39,12229062.39,12229062.39,2009-12-01,2011-11-30,https://data.theglobalfund.org/grant/BRA-809-G04-M,2026-08-22
BRN-910-G10-M,BDI,Burundi,Country,Administratively Closed,USD,7358680.97,7358680.97,7358680.97,2010-08-01,2015-12-31,https://data.theglobalfund.org/grant/BRN-910-G10-M,2026-08-22
BTN-405-G01-M,BTN,Bhutan,Country,Administratively Closed,USD,1343197.81,1343197.81,1343197.81,2005-04-01,2010-03-31,https://data.theglobalfund.org/grant/BTN-405-G01-M,2026-08-22
BTN-708-G05-M,BTN,Bhutan,Country,Administratively Closed,USD,3515678.98,3515678.98,3515678.98,2008-07-01,2015-06-30,https://data.theglobalfund.org/grant/BTN-708-G05-M,2026-08-22
BTN-M-MOH,BTN,Bhutan,Country,Active,USD,6439582.54,5845520.88,5771612.47,2015-07-01,2027-06-30,https://data.theglobalfund.org/grant/BTN-M-MOH,2026-08-22
BUR-708-G07-M,BFA,Burkina Faso,Country,Administratively Closed,USD,20110988.02,20110988.02,20110988.02,2008-05-01,2011-12-31,https://data.theglobalfund.org/grant/BUR-708-G07-M,2026-08-22
BUR-809-G08-M,BFA,Burkina Faso,Country,Administratively Closed,USD,31218174.9,31218174.9,31218174.9,2009-09-01,2011-12-31,https://data.theglobalfund.org/grant/BUR-809-G08-M,2026-08-22
BUR-M-PLAN,BFA,Burkina Faso,Country,Administratively Closed,USD,11470402.04,11470402.04,11470402.04,2012-01-01,2014-12-31,https://data.theglobalfund.org/grant/BUR-M-PLAN,2026-08-22
BWA-M-BMOH,BWA,Botswana,Country,Administratively Closed,USD,4961456.81,4961456.81,4961456.81,2015-10-01,2022-03-31,https://data.theglobalfund.org/grant/BWA-M-BMOH,2026-08-22
CAF-405-G04-M,CAF,Central African Republic,Country,Administratively Closed,USD,13556991.45,13556991.45,13556991.45,2005-05-01,2010-10-31,https://data.theglobalfund.org/grant/CAF-405-G04-M,2026-08-22
CAF-810-G08-M,CAF,Central African Republic,Country,Administratively Closed,USD,5257649.91,5257649.91,5257649.91,2011-06-01,2013-11-30,https://data.theglobalfund.org/grant/CAF-810-G08-M,2026-08-22
CAF-813-G10-M,CAF,Central African Republic,Country,Administratively Closed,USD,19623372.45,19623372.45,19623372.45,2013-10-01,2016-06-30,https://data.theglobalfund.org/grant/CAF-813-G10-M,2026-08-22
CAF-M-IFRC,CAF,Central African Republic,Country,Administratively Closed,USD,23938186.42,23938186.42,23938186.42,2016-07-01,2017-12-31,https://data.theglobalfund.org/grant/CAF-M-IFRC,2026-08-22
CAF-M-WVI,CAF,Central African Republic,Country,In Closure,USD,126091534.9,125982872.05,125834834.16,2017-09-26,2023-12-31,https://data.theglobalfund.org/grant/CAF-M-WVI,2026-08-22
CAM-M-CNM,KHM,Cambodia,Country,Administratively Closed,USD,29454602.84,29454602.84,29454602.84,2010-07-01,2013-03-31,https://data.theglobalfund.org/grant/CAM-M-CNM,2026-08-22
CHN-011-G15-M,CHN,China,Country,Administratively Closed,USD,4763909.09,4763909.09,4763909.09,2012-01-01,2013-12-31,https://data.theglobalfund.org/grant/CHN-011-G15-M,2026-08-22
CHN-102-G02-M-00,CHN,China,Country,Administratively Closed,USD,6242697.75,6242697.75,6242697.75,2003-04-01,2008-03-31,https://data.theglobalfund.org/grant/CHN-102-G02-M-00,2026-08-22
CHN-506-G07-M,CHN,China,Country,Administratively Closed,USD,30998298.61,30998298.61,30998298.61,2006-10-01,2011-09-30,https://data.theglobalfund.org/grant/CHN-506-G07-M,2026-08-22
CHN-607-G09-M,CHN,China,Country,Administratively Closed,USD,11518042.54,11518042.54,11518042.54,2007-07-01,2012-06-30,https://data.theglobalfund.org/grant/CHN-607-G09-M,2026-08-22
CHN-S10-G13-M,CHN,China,Country,Administratively Closed,USD,60097627.88,60097627.88,60097627.88,2010-07-01,2012-06-30,https://data.theglobalfund.org/grant/CHN-S10-G13-M,2026-08-22
CIV-607-G06-M,CIV,Côte d'Ivoire,Country,Administratively Closed,USD,9017980.78,9017980.78,9017980.78,2007-12-01,2010-06-30,https://data.theglobalfund.org/grant/CIV-607-G06-M,2026-08-22
CIV-809-G08-M,CIV,Côte d'Ivoire,Country,Administratively Closed,USD,76624615.27,76624615.27,76624615.27,2010-01-01,2015-06-30,https://data.theglobalfund.org/grant/CIV-809-G08-M,2026-08-22
CIV-809-G09-M,CIV,Côte d'Ivoire,Country,Administratively Closed,USD,109946509.65,109946509.65,109946509.65,2010-01-01,2015-09-30,https://data.theglobalfund.org/grant/CIV-809-G09-M,2026-08-22
CIV-M-MOH,CIV,Côte d'Ivoire,Country,Active,USD,349081556.29,335131977.4,319735958.33,2015-07-01,2026-12-31,https://data.theglobalfund.org/grant/CIV-M-MOH,2026-08-22
CIV-M-SCI,CIV,Côte d'Ivoire,Country,Active,USD,132650607.76,126669653.78,126671338.84,2016-01-01,2026-12-31,https://data.theglobalfund.org/grant/CIV-M-SCI,2026-08-22
CMR-304-G02-M,CMR,Cameroon,Country,Administratively Closed,USD,29721395,29721395,29721395,2005-01-01,2009-12-31,https://data.theglobalfund.org/grant/CMR-304-G02-M,2026-08-22
CMR-506-G06-M,CMR,Cameroon,Country,Administratively Closed,USD,9032307.97,9032307.97,9032307.97,2006-11-01,2011-10-31,https://data.theglobalfund.org/grant/CMR-506-G06-M,2026-08-22
