productId,iso3,nafdacNo,productName,ingredients,composition,form,strength,packSize,route,applicant,atc,approvalDate,expiryDate,status,sourceUrl,retrievedDate
dhappq,NGA,04-9495,P-Alaxin (Dihydroartemisinin 40 mg & Piperaquine 320 mg) Tablets_,Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 40 mg, and Piperaquine Phosphate 320 mg
Excipients q.s.",Tablet,40 mg; 320 mg,"1 x 6's, 1 x 12's, 1 x 15's (in Alu-PVC blisters)",Oral,Greenlife Pharmaceutical Limited,P01BF07,2025-05-27,2030-05-26,Active,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100067,Piramal Dry Powder for Oral Suspension,Dihydroartemisinin; Piperaquine Phosphate,"Each 80 mL reconstituted suspension contains: Dihydroartemisinin 80 mg, Piperaquine Phosphate 640 mg",Powder for suspension,80 mg/80 mL; 640 mg/80 mL,1 x 80 mL,Oral,Emzor Pharmaceutical Industries Limited,P01BF07,2021-03-29,2026-03-28,Inactive,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100073,Malact Tablet,Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 40 mg, Piperaquine Phosphate 320 mg, Excipients q.s.",Tablet,40 mg; 320 mg,1 x 9's (in PVC-Alu blister),Oral,May &amp; Baker Nigeria PLC,P01BF07,2021-03-30,2026-03-29,Inactive,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100074,Zomal TS,Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 120 mg, Piperaquine Phosphate 920 mg
Excipients q.s.",Tablet,120 mg; 960 mg,1 x 6's (in Alu-Alu blister),Oral,Zolon Healthcare Limited,P01BF07,2021-03-30,2026-03-29,Inactive,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100075,Zomal Tablet (smpc null),Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 40 mg, Piperaquine Phosphate 320 mg
Excipients q.s.",Tablet,40 mg; 320 mg,,Oral,Zolon Healthcare Limited,P01BF07,2021-03-30,2026-03-29,Inactive,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100118,Piramal TS,Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 120 mg, Piperaquine Phosphate 960 mg
Excipients q.s.",Tablet,120 mg; 960 mg,1 x 12's (in PVC-Alu blisters),Oral,Emzor Pharmaceutical Industries Limited,P01BF07,2021-05-07,2026-05-06,Inactive,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100745,Malact TS Tablets,Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 120 mg, Piperaquine Phosphate 960 mg",Caplet,120 mg; 960 mg,1 x 3's (in PVC-Alu blisters),Oral,May &amp; Baker Nigeria PLC,P01BF07,2024-07-31,2029-07-30,Active,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-100758,Artexaten 40 mg/320 mg Tablet,Dihydroartemisinin; Piperaquine Phosphate,"Dihydroartemisinin &amp; Piperaquine Phosphate Tablets.
Each tablet contains: Dihydroartemisinin 40 mg, Piperaquine Phosphate 320 mg, Excipients  q.s.",Tablet,40 mg; 320 mg,10 x 9's (in PVC/PVDC/aluminium blisters),Oral,Unicure Pharmaceuticals Limited,,2024-08-28,2029-08-27,Active,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A11-1312,Piramal Ts-Combi (check pack size),Dihydroartemisinin; Piperaquine Phosphate,"Each tablet contains: Dihydroartemisinin 120 mg, Piperaquine Phosphate 960 mg
Excipients q.s.",Tablet,120 mg; 960 mg,1 x 80 mL,Oral,Emzor Pharmaceutical Industries Limited,P01BF07,2022-09-29,2027-09-28,Active,https://greenbook.nafdac.gov.ng/,2026-08-23
dhappq,NGA,A4-0560,Fanmet Capsules,Dihydroartemisinin; Piperaquine Phosphate,"Each capsule contains: Dihydroartemisinin 40 g, Piperaquine Phosphate 320 mg
Excipients q.s.
Capsule shell contains approved color",Capsule,40 mg; 320 mg,1 x 9's (in PVC-Alu blister),Oral,Maydon Pharmaceuticals Limited,P01BF05,2023-12-21,2028-12-20,Active,https://greenbook.nafdac.gov.ng/,2026-08-23
