refId,productId,productName,authorityType,authority,iso3,event,eventDate,procedure,applicant,status,sourceUrl,retrievedDate
EMEA/H/W/004252,,Arpraziquantel — arpraziquantel,SRA,EMA,,opinion (EU-M4all / Art. 58),2023-12-14,EU-M4all,,Positive opinion,https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/arpraziquantel,2026-08-22
EMEA/H/W/005362,,"Dengue Tetravalent Vaccine (Live, Attenuated) Takeda — dengue tetravalent vaccine (live, attenuated)",SRA,EMA,,opinion (EU-M4all / Art. 58),2022-10-13,EU-M4all · Dengue,,Positive opinion (outcome 2026-07-23),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/dengue-tetravalent-vaccine-live-attenuated-takeda,2026-08-22
EMEA/H/W/006659,,Lenacapavir Gilead — lenacapavir,SRA,EMA,,opinion (EU-M4all / Art. 58),2025-07-24,EU-M4all · HIV Infections;HIV-1,,Positive opinion,https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/lenacapavir-gilead,2026-08-22
EMEA/H/W/006686,,Acoziborole Winthrop — acoziborole,SRA,EMA,,opinion (EU-M4all / Art. 58),2026-02-24,"EU-M4all · Trypanosomiasis, African",,Positive opinion,https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/acoziborole-winthrop,2026-08-22
H-W-005779,,Actrapid — insulin human,SRA,EMA,,opinion (EU-M4all / Art. 58),2022-04-22,EU-M4all · Diabetes Mellitus,,Positive opinion (outcome 2022-04-22),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/actrapid,2026-08-22
H-W-005780,,Insulatard — insulin human,SRA,EMA,,opinion (EU-M4all / Art. 58),2022-04-22,EU-M4all · Diabetes Mellitus,,Positive opinion,https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/insulatard,2026-08-22
H-W-2168,,Dapivirine Vaginal Ring 25 mg — dapivirine,SRA,EMA,,opinion (EU-M4all / Art. 58),2020-07-23,EU-M4all · Anti-HIV Agents,,Positive opinion (outcome 2025-06-19),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/dapivirine-vaginal-ring-25-mg,2026-08-22
H-W-2300,,"Mosquirix — Plasmodium falciparum and hepatitis B vaccine (recombinant, adjuvanted)",SRA,EMA,,opinion (EU-M4all / Art. 58),2015-07-23,EU-M4all · Malaria,,Positive opinion (outcome 2025-03-27),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/mosquirix,2026-08-22
H-W-2319,pyramax,Pyramax — artesunate;pyronaridine,SRA,EMA,,opinion (EU-M4all / Art. 58),2012-02-16,EU-M4all · Malaria,,Positive opinion (outcome 2025-06-05),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/pyramax,2026-08-22
H-W-2320,,Fexinidazole Winthrop — fexinidazole,SRA,EMA,,opinion (EU-M4all / Art. 58),2018-11-15,"EU-M4all · Trypanosomiasis, African",,Positive opinion (outcome 2025-10-09),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/fexinidazole-winthrop,2026-08-22
H-W-2495,,"Hexaxim — diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus influenzae type b conjugate vaccine (adsorbed)",SRA,EMA,,opinion (EU-M4all / Art. 58),2012-06-21,"EU-M4all · Hepatitis B;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria",,Withdrawn opinion (outcome 2020-09-24),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/hexaxim,2026-08-22
H-W-2652,,Hemoprostol — misoprostol,SRA,EMA,,opinion (EU-M4all / Art. 58),2014-01-23,EU-M4all · Postpartum Hemorrhage,,Withdrawn opinion (outcome 2015-03-26),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/hemoprostol,2026-08-22
H-W-3799,,Umbipro — chlorhexidine,SRA,EMA,,opinion (EU-M4all / Art. 58),2016-04-28,EU-M4all · Soft Tissue Infections,,Withdrawn opinion (outcome 2019-12-19),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/umbipro,2026-08-22
H-W-3838,,"Tritanrix HB — diphtheria (D), tetanus (T), pertussis (whole cell) (Pw) and hepatitis B (rDNA) (HBV) vaccine (adsorbed)",SRA,EMA,,opinion (EU-M4all / Art. 58),2013-12-19,"EU-M4all · Hepatitis;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria",,Withdrawn opinion (outcome 2013-12-19),https://www.ema.europa.eu/en/opinion-medicine-use-outside-EU/human/tritanrix-hb,2026-08-22
